Company,Route,Town,Street,Phone,IT Contact (ask for),Owner/Exec,Emp Est,Door Opener
FINTRX,R1 Rockland Exit14/Ledgewood,Rockland,"40 Reservoir Park Dr, Ste A",(617) 517-0789,Bruno Bonifacini (Software Developer & Security Integrations Specialist),Dennis Caulfield (Chief Product & Data Officer),85,Growing fintech with SOC 2 expectations from clients. Lead with co-managed security and compliance.
South Shore Skin Center,N2 Norwell Rt53/QueenAnne's,Norwell,"75 Washington St, Ste 1",(781) 878-6495,,,86,"EHR uptime and HIPAA. Lead with a HIPAA security risk assessment, which insurers now expect."
Cardinal Cushing Centers,H1 Hanover Rt53/139,Hanover,405 Washington St,(781) 826-6371,"Evan Moniz (Manager, Network)",Gina Rosas (Chief Operating Officer),410,"Student records, HIPAA and FERPA with a lean budget. Lead with co-managed support and security."
Homestead Mortgage,H1 Hanover Rt53/139,Hanover,"427 Columbia Rd, Ste 114",(781) 924-5482,,Kimmie Miller (Owner),82,GLBA safeguards and loan officer laptops everywhere. Lead with compliance and device management.
Royal Health Group,P1 Pembroke corporate parks,Pembroke,42 Winter St,(781) 826-2393,"Jimmy Noel (Manager, Information Technology)",Pamela Jones (Chief Financial Officer),755,"12 facilities of EHR, nurse call and HIPAA. Lead with multi site support and security."
FMC Ice Sports,P1 Pembroke corporate parks,Pembroke,"100 Schoosett St, Bldg 3",(888) 747-5283,,,226,"25 rinks on POS, scheduling and payment systems. Lead with multi site support and uptime."
Thayer Scale,P1 Pembroke corporate parks,Pembroke,91 Schoosett St,(855) 784-2937,Chris Geer (Information Technology Consultant),Frank Hyer (Chairman & Chief Executive Officer),82,"Engineering IP and global customers. Lead with security, backup and shop floor uptime."
Nelco Products,P1 Pembroke corporate parks,Pembroke,22 Riverside Dr,(800) 346-3526,"Patrick Wong (Director, Information Technology & Materials)",Miriam Nelson (Owner),81,"E-commerce and warehouse ops. Lead with uptime, EDI reliability and security."
T&K Asphalt Services,W1 Whitman/Abington/Hanson,Whitman,7 Industrial Way,(781) 826-3138,,Peter Cleary (Chief Financial Officer),125,80M contractor and a top wire fraud target. Lead with email security and estimating uptime.
Cape Cod Lumber,W1 Whitman/Abington/Hanson,Abington,225 Groveland St,(781) 878-0715,,Thomas McManus (President),98,"POS, inventory and delivery ops on one system. Lead with uptime and ransomware defense."
Bay State Milling,Q1 Quincy/Milton,Quincy,100 Congress St Ste 2,(800) 553-5687,"Phillip Murphy (Director, Information Technology & Development)",Alain Hanna (Chief Financial Officer),340,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
Manet Community Health Center,Q1 Quincy/Milton,Quincy,110 W Squantum St Ste 8,(617) 376-3000,Kim Shaw (Chief Information Officer),Marc Conroy (Chief Financial Officer),250,PHI and EHR uptime on a lean team. Lead with a HIPAA security risk assessment.
Quincy Mutual Group,Q1 Quincy/Milton,Quincy,57 Washington St,(617) 770-5100,"Michael Andrade (Manager, Information Systems)",Thomas Harris (President & Chief Executive Officer),200,"Client PII and audits. Lead with security posture, compliance support and uptime."
XS Brokers,Q1 Quincy/Milton,Quincy,13 Temple St Fl 1,(617) 471-7171,Jason Brudnick (Chief Information Officer),Eric Wirkus (Chief Executive Officer),200,"Client PII and audits. Lead with security posture, compliance support and uptime."
Twin Rivers Technologies,Q1 Quincy/Milton,Quincy,780 Washington St,(617) 472-9200,"John Piasecki (Director, Information Technology)",Scott Chatlin (President & Chief Executive Officer),113,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
CDF Corporation,P2 Plymouth/Kingston/Marshfield,Plymouth,77 Industrial Park Rd,(800) 443-1920,Alex Ivkovic (Chief Information Officer),Joseph Sullivan (President),600,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
Welch Healthcare & Retirement Group,P2 Plymouth/Kingston/Marshfield,Duxbury,290 Kingstown Way,(781) 585-7136,,,502,Real office and operations inside the drive zone. Lead with dependable IT and security basics.
Suncor Stainless / Atlantis Rail,P2 Plymouth/Kingston/Marshfield,Plymouth,70 Armstrong Rd,(508) 732-9191,,,171,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
Kirwan Surgical Products,P2 Plymouth/Kingston/Marshfield,Marshfield,180 Enterprise Dr,(781) 834-9500,,Jean Kirwan (Founder),161,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
Vacuum Process Technology,P2 Plymouth/Kingston/Marshfield,Plymouth,70 Industrial Park Rd,(508) 732-7200,Tim Stevenson (Systems Technician),,120,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
Plymouth Bay Orthopedic,P2 Plymouth/Kingston/Marshfield,Plymouth,41 Resnik Rd,(781) 934-2400,,Scott Oliver (President & Founder),71,PHI and EHR uptime on a lean team. Lead with a HIPAA security risk assessment.
Double E Group,K1 Brockton/Easton/Rt24,West Bridgewater,319 Manley St,(508) 588-8099,Wayne Arensman (IT Support Technician),Kyle Willis (President & Chief Operating Officer),200,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
North Easton Savings Bank,K1 Brockton/Easton/Rt24,South Easton,20 Eastman St,(508) 238-2007,"Elaina Gordon (Director, Information Technology Operations)",William Morse (President),195,"Exam and vendor management pressure with lean internal IT. Lead with vCISO, compliance alignment and MDR."
Concord Foods,K1 Brockton/Easton/Rt24,Brockton,10 Minuteman Way,(508) 580-1700,Maureen McLaughlin (System Support),Jeff Neville (Founder),152,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
REXA,K1 Brockton/Easton/Rt24,West Bridgewater,4 Manley St,(508) 584-1199,Lynne Gray (IT Specialist),,140,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
Pharmasol,K1 Brockton/Easton/Rt24,South Easton,1 Norfolk Ave Ste 1,(508) 238-8501,"Mark Badilla (Manager, Management Information Systems)",Donghwan Choi (President),125,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
SCU Credit Union,K1 Brockton/Easton/Rt24,Brockton,1300 Belmont St,(781) 784-7725,"Paul Pijanowski (Senior VP, Information Security)",Robert Gustafson (President & Chief Executive Officer),101,"Exam and vendor management pressure with lean internal IT. Lead with vCISO, compliance alignment and MDR."
Lyne Laboratories,K1 Brockton/Easton/Rt24,Brockton,10 Burke Dr,(508) 583-8700,,Stephen Tarallo (President & Chief Executive Officer & Director),101,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
Boston Mutual Life Insurance,B1 Braintree/Canton/Stoughton,Canton,120 Royall St,(781) 828-7000,"Tom Kane (CISO & Director, Infrastructure)",,381,Insurance carrier with a named CISO. Lead with co-managed security depth and audit support.
Abington Bank,B1 Braintree/Canton/Stoughton,Holbrook,95 N Franklin St,,"Michael Fitzgerald (VP, Information Technology)",,32,"Community bank with one IT officer. Lead with exam prep, vCISO and layered security."
Lacerta Group,F1 Foxboro/Mansfield/495 belt,Mansfield,360 Forbes Blvd,(508) 339-3312,Regis Kouatcho (Business & IT Systems Analyst),Ali Lotfi (President),567,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
Senior Metal Bellows,F1 Foxboro/Mansfield/495 belt,Sharon,1075 Providence Hwy,(781) 784-1400,"Bill Gabriel (Manager, Information Technology)",,363,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
ConnectPay,F1 Foxboro/Mansfield/495 belt,Foxborough,10 Lincoln Rd Ste 110,(877) 551-0907,Reema Shetye (IT Agile Project Manager),"Paul Altavena (Founder & Head President, Connectpay Payroll Services o...)",183,"Client PII and audits. Lead with security posture, compliance support and uptime."
CPS Technologies,F1 Foxboro/Mansfield/495 belt,Norton,111 S Worcester St,(508) 222-0614,Yashvant Patel (Desktop Support Hardware Networking Engineer),Ashish Desai (Founder),117,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
Proven Process Medical Devices,F1 Foxboro/Mansfield/495 belt,Mansfield,110 Forbes Blvd,(508) 261-0849,,Anthony Roscoe (Business Owner),103,PHI and EHR uptime on a lean team. Lead with a HIPAA security risk assessment.
Acumentrics,F1 Foxboro/Mansfield/495 belt,Walpole,10 Walpole Park S,(617) 932-7877,"Debra King (Vice President, Compliance & Business Systems)",John Cerulli (Chief Executive Officer),96,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.
Clinical Science Laboratory,F1 Foxboro/Mansfield/495 belt,Mansfield,51 Francis Ave,(800) 255-6106,,Lonnie Elfbaum (Chief Financial Officer & Controller),95,PHI and EHR uptime on a lean team. Lead with a HIPAA security risk assessment.
Coastal Dealerships,S1 Weymouth/Hingham/3A coast,Cohasset,742 Chief Justice Cushing Hwy,(781) 610-1000,Ask who runs IT,Matthew Kittredge (General Manager),25,"Longtime customer relationship. Neighbor intro, ask for 10 minutes. Multi-site uptime and same-day onsite."
