Company,HQCity,Industry,EstEmp,Verdict,WhyNextMove
Harpoon Brewery,"Boston, MA",Food & Bev,~300,DROP-OFF: MAYBE,"Seaport. Public taproom makes a creative drop possible, but corporate decides."
Hi Marley,"Boston, MA",InsurTech,~150,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Hitchiner Mfg,"Milford, NH",Manufacturing,~500,No. Out of region,"CT, NH, VT or NY. Email and call motion only."
Hydroid,"Pocasset, MA",Robotics,~200,DROP-OFF: MAYBE,"Pocasset, 45 min. HII owned, badge likely. Try once when on a Cape run."
Hydrow,"Cambridge, MA",Consumer Tech,~250,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
IDRx,"Plymouth, MA",Biotech,~60,DROP-OFF: YES,"Plymouth, home turf. Small biotech office, low ceremony. Easy relationship stop."
Immuta,"Boston, MA",AI / Security,~200,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Inari Agriculture,"Cambridge, MA",AgTech,~300,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Indico Data,"Boston, MA",AI / Software,~80,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Instron,"Norwood, MA",Mfg / Tech,~300,DROP-OFF: MAYBE,"Norwood, 30 min, but ITW owned. Corporate IT likely. Worth one lobby attempt off the B1 route."
Kailera Therapeutics,"Waltham, MA",Biotech,~125,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Karyopharm,"Newton, MA",Biotech,~350,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Kiniksa Pharma,"Lexington, MA",Biotech,~300,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
KMC Systems,"Merrimack, NH",Manufacturing,~300,No. Out of region,"CT, NH, VT or NY. Email and call motion only."
Kyruus,"Boston, MA",HealthTech,~300,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Ledgebrook,"Boston, MA",InsurTech,~100,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Lex Products,"Shelton, CT",Manufacturing,~250,No. Out of region,"CT, NH, VT or NY. Email and call motion only."
Lightmatter,"Boston, MA",AI / Hardware,~200,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Liquid AI,"Boston, MA",AI / DeepTech,~80,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Locus Robotics,"Wilmington, MA",Robotics,~480,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Lowell Comm. Health,"Lowell, MA",Healthcare,~400,No. Too far for routes,"Lowell. 50 plus minutes. Email, call, or event motion."
Lynn Comm. Health,"Lynn, MA",Healthcare,~400,No. Too far for routes,"Lynn. 50 plus minutes. Email, call, or event motion. Also on your cold account list. Re-open warm."
Manet Comm. Health,"Quincy, MA",Healthcare,~200,DROP-OFF: YES,Quincy health center. Visit the administrative office mid afternoon.
Markforged,"Watertown, MA",Manufacturing,~300,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Microboard Processing,"Seymour, CT",Manufacturing,~150,No. Out of region,"CT, NH, VT or NY. Email and call motion only."
Mintz,"Boston, MA",Law Firm,"~1,200",No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Monadnock Hosp,"Peterborough, NH",Healthcare,~400,No. Out of region,"CT, NH, VT or NY. Email and call motion only."
New England Wire,"Lisbon, NH",Manufacturing,~400,No. Out of region,"CT, NH, VT or NY. Email and call motion only."
Northeast Hospital,"Beverly, MA",Healthcare,~500,No. Too far for routes,"Beverly. 50 plus minutes. Email, call, or event motion."
OpenEvidence,"Boston, MA",AI / Health,~150,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
OrthoConnecticut,"Danbury, CT",Healthcare,~200,No. Out of region,"CT, NH, VT or NY. Email and call motion only."
PathAI,"Boston, MA",AI / Health,~350,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Piaggio Fast Fwd,"Boston, MA",Robotics,~80,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Polar Beverages,"Worcester, MA",Manufacturing,~500,No. Too far for routes,"Worcester. 50 plus minutes. Email, call, or event motion."
Protege,"New York, NY",AI / Data,~30,No. Out of region,"CT, NH, VT or NY. Email and call motion only."
Relay Therapeutics,"Cambridge, MA",Biotech,~300,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins. Named DM from your research: Daryn Berger, Sr Dir Head of IT."
Remix Therapeutics,"Watertown, MA",Biotech,~100,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Replimune,"Woburn, MA",Biotech,~480,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins. Already a current account (met, no revenue). Book a meeting, do not cold visit."
Rhino Federated,"Boston, MA",AI / Privacy,~50,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Rhythm Pharmaceuticals,"Boston, MA",Biotech,~150,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
RightHand Robotics,"Somerville, MA",Robotics,~100,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Runway AI,"New York, NY",AI / Creative,~150,No. Out of region,"CT, NH, VT or NY. Email and call motion only."
Russelectric,"Hingham, MA",Manufacturing,~400,DROP-OFF: YES,"Hingham, 10 min out. Manufacturer with a real front office. Add to a Norwell route day."
Scholar Rock,"Cambridge, MA",Biotech,~330,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Scorpion Therapeutics,"Boston, MA",Biotech,~150,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Seaport Therapeutics,"Boston, MA",Biotech,~50,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Soft Robotics,"Bedford, MA",Robotics,~100,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Solu Therapeutics,"Boston, MA",Biotech / AI,~50,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Somite,"Boston, MA",AI / Bio,~60,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Spero Therapeutics,"Cambridge, MA",Biotech,~50,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Starling Physicians,"Rocky Hill, CT",Healthcare,~500,No. Out of region,"CT, NH, VT or NY. Email and call motion only."
Summit Partners,"Boston, MA",PE / VC,~350,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Suno,"Cambridge, MA",GenAI / Audio,~150,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Superluminal Medicines,"Boston, MA",AI / Bio,~50,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Symbotic,"Wilmington, MA",Robotics,~500,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Tegra Medical,"Franklin, MA",Med Device,~300,DROP-OFF: MAYBE,"Franklin, 45 min. SFS owned. Lobby attempt only if passing."
Tessera Therapeutics,"Somerville, MA",Biotech,~250,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Tracksmith,"Boston, MA",Retail,~100,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Treeline Biosciences,"Watertown, MA",Biotech,~150,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
UPPAbaby,"Rockland, MA",Consumer Mfg,~180,DROP-OFF: YES,Rockland. Already Tier A on the drop-off list. Merge outreach history first.
Upstream Bio,"Waltham, MA",Biotech,~80,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Vermont Teddy Bear,"Shelburne, VT",Consumer,~200,No. Out of region,"CT, NH, VT or NY. Email and call motion only."
Visiting Nurses,"Albany, NY",Home Health,~200,No. Out of region,"CT, NH, VT or NY. Email and call motion only."
VODA.ai,"Boston, MA",AI / Utility,~40,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Wellframe,"Boston, MA",HealthTech,~150,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
WHOOP,"Boston, MA",Tech,~500,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
X4 Pharmaceuticals,"Boston, MA",Biotech,~100,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Yuma Asset Mgmt,"Stamford, CT",Crypto,~50,No. Out of region,"CT, NH, VT or NY. Email and call motion only."
Zenas BioPharma,"Waltham, MA",Biotech,~120,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
Zifino,"Cambridge, MA",Security,~30,No. Badge access metro,"Boston or Cambridge office building. In-person means events and booked meetings, not walk-ins."
